,id,fecha,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia,tiempo,region_origen,region_destino
0,124092420,2021-07-28,-11.96507,-77.12269,-12.0702,-77.13524000000001,14747.0,1775.0,,
1,124091219,2021-07-25,-12.15509,-76.97996,-12.0757,-76.91754,17171.0,1821.0,Lima,Lima
2,124091187,2021-07-25,-14.53377,-75.1846,-14.8863,-74.99414,58708.0,3842.0,Ica,Ica
3,124093495,2021-08-01,-5.201517,-80.64635,-5.38453,-80.62314,23611.0,1446.0,Departamento de Piura,Departamento de Piura
4,124092156,2021-07-27,-11.96747,-77.12508,-12.035,-77.07444000000001,14229.0,1974.0,,Lima
5,124090556,2021-07-23,-11.96515,-77.12277,-11.88,-77.16244,14550.0,1911.0,,
6,124090217,2021-07-22,-13.54389,-71.91968,-13.48843,-72.11601999999999,27756.0,3303.0,Cusco,Cusco
7,124091647,2021-07-26,-11.11297,-77.61004,-11.9706,-77.01404000000001,151691.0,9645.0,Lima,Lima
8,124093188,2021-07-31,-13.54379,-71.91965,-13.5214,-71.98614,8965.0,1538.0,Cusco,Cusco
9,124090892,2021-07-24,-16.44997,-71.51241,-16.4151,-71.54034,6509.0,957.0,Arequipa,Arequipa
10,124092315,2021-07-28,-12.59543,-69.19855,-12.8931,-69.83774,83476.0,4507.0,Madre de Dios,Madre de Dios
11,124089482,2021-07-21,-5.176979,-80.68034,-5.39222,-80.77462,39430.0,3378.0,Departamento de Piura,Departamento de Piura
12,124089848,2021-07-22,-13.54389,-71.91968,-12.87133,-72.70042,209617.0,16816.0,Cusco,Cusco
13,124093006,2021-07-30,-12.15562,-76.98,-12.186,-76.98764,4625.0,811.0,Lima,Lima
14,124091852,2021-07-26,-13.15592,-74.22416,-13.1795,-74.22994,3360.0,908.0,Ayacucho,Ayacucho
15,124090352,2021-07-23,-12.58308,-69.20438,-13.0391,-70.43474,182182.0,14075.0,Madre de Dios,Madre de Dios
16,124088562,2021-07-19,-16.55111,-72.59782,-16.40973,-73.22962,104278.0,6731.0,Arequipa,Arequipa
17,124089742,2021-07-21,-11.97697,-77.01445,-12.22123,-76.91232,36482.0,3922.0,Lima,Lima
18,124091120,2021-07-25,-14.69216,-74.13892,-14.8863,-74.99414,197324.0,16633.0,Ayacucho,Ica
19,124091250,2021-07-25,-11.96515,-77.12243,-11.9892,-77.05344000000001,9336.0,2092.0,,Lima
20,124089463,2021-07-19,-8.413985,-74.56741,-8.39085,-74.54142,5236.0,888.0,Ucayali,Ucayali
21,124088755,2021-07-19,-5.20156,-80.64625,-5.34657,-80.70931999999999,20972.0,1909.0,Departamento de Piura,Departamento de Piura
22,124091949,2021-07-27,-11.96572,-77.12257,-12.0125,-76.88014,37983.0,3498.0,,Lima
23,124089852,2021-07-22,-11.87568,-77.03142,-11.87583,-77.12151999999999,19979.0,2431.0,Lima,
24,124091705,2021-07-26,-8.414603,-74.5676,-8.32501,-74.85904000000001,48324.0,4458.0,Ucayali,Ucayali
25,124092270,2021-07-28,-16.38564,-71.54844,-16.413700000000002,-71.54754,4293.0,716.0,Arequipa,Arequipa
26,124092984,2021-07-30,-6.483966,-76.36055,-6.367979999999999,-76.74694000000001,104674.0,11777.0,San Martín,San Martín
27,124091989,2021-07-27,-9.071959,-78.59869,-9.06737,-78.58704,2512.0,320.0,Ancash,Ancash
28,124088924,2021-07-20,-15.83613,-70.01984,-15.82093,-70.02252,2291.0,400.0,Puno,Puno
29,124089811,2021-07-22,-6.716923,-79.81094,-6.80043,-79.83941999999999,16324.0,1616.0,Lambayeque,Lambayeque
30,124091292,2021-07-25,-6.773885,-79.85686,-6.71693,-79.91124,12368.0,1265.0,Lambayeque,Lambayeque
31,124092063,2021-07-27,-7.160597,-78.5237,-7.26465,-78.40504,24777.0,3117.0,Cajamarca,Cajamarca
32,124091242,2021-07-25,-9.172466,-78.35993,-9.08191,-78.57734,39360.0,2700.0,Ancash,Ancash
33,124091724,2021-07-26,-12.15563,-76.97968,-12.0345,-76.93974,18258.0,1956.0,Lima,Lima
34,124089436,2021-07-21,-11.99379,-75.286,-12.06213,-75.19232,15648.0,2093.0,Junín,Junín
35,124092701,2021-07-30,-12.15571,-76.98002,-12.2348,-76.94234,11613.0,1342.0,Lima,Lima
36,124090281,2021-07-22,-6.483243,-76.36246,-6.483759999999999,-76.39811999999999,6162.0,891.0,San Martín,San Martín
37,124092729,2021-07-30,-12.15571,-76.98002,-12.0658,-76.94204,13709.0,1252.0,Lima,Lima
38,124092028,2021-07-27,-12.15581,-76.97998,-12.1659,-76.98364000000001,4274.0,590.0,Lima,Lima
39,124092027,2021-07-27,-12.15581,-76.97998,-12.0941,-76.94244,12730.0,1400.0,Lima,Lima
40,124090720,2021-07-24,-12.15565,-76.97975,-12.1623,-76.98924000000001,4608.0,603.0,Lima,Lima
41,124090075,2021-07-22,-11.96519,-77.12257,-11.95943,-77.01111999999999,28633.0,4093.0,,Lima
42,124090781,2021-07-24,-6.48385,-76.36065,-6.483429999999999,-76.39944,7010.0,943.0,San Martín,San Martín
43,124088724,2021-07-19,-13.53029,-71.93884,-13.36533,-72.11612,39958.0,3993.0,Cusco,Cusco
44,124089740,2021-07-21,-12.16562,-76.92236,-12.22743,-76.91302,10614.0,1245.0,Lima,Lima
45,124088557,2021-07-19,-11.97679,-77.01421,-12.07633,-76.98892,17827.0,2090.0,Lima,Lima
46,124089888,2021-07-19,-11.96467,-77.12311,-12.01393,-77.10512,8940.0,1072.0,,
47,124090258,2021-07-22,-12.21899,-76.94265,-12.03193,-77.13492,41496.0,3534.0,Lima,
48,124092040,2021-07-27,-7.982075,-79.06519,-8.5457,-78.68374,110474.0,7450.0,La Libertad,La Libertad
